address,city,country,name,postal_code,state,enriched_address,enriched_aka,enriched_canonical_name,enriched_city,enriched_confidence,enriched_country,enriched_ids,enriched_lat,enriched_lon,enriched_postal_code,enriched_state,enriched_websites,dnb_primary_address,dnb_primary_city,dnb_primary_country,dnb_primary_name,dnb_primary_postal_code,dnb_primary_state,row_index,success,message,evidence_count
"Building 3 Room 11c, No. 31 Zizhu Yuan Road",Beijing,CN,Beijing Zing Found Network Co.ltd,100089,BEIJING,,,,,,,,,,,,,"F-224, No.86, Changyang Wanxing Road, Fangshan District",Beijing,CN,"Beijing Zhongcan Foundation New Materials Co., Ltd.",100000,,0,False,The queried names and addresses do not match or closely relate to the input company.,
3/f Plaza Chambers,Springwood,AU,Engineered Services (australia) Pty. Limited,4127,QLD,,,,,,,,,,,,,,,AU,ENGINEERING SERVICES AUSTRALIA PTY. LTD.,2138,,1,False,"The names are similar but not identical, and there is no strong evidence linking them to the same organization.",
Shàngbùzhōnglù,Shēnzhènshì,CN,No.6 Mechanical Design & Research Institute,518027,GUǍNGDŌNGSHĚNG,,,,,,,,,,,,,"No.5, Zhangxingzhuang North Road",Tianjin,CN,Tianjin The Sixth Electrical Appliance Switch Plant (General Parternship),300402,,2,False,The queried names and addresses do not match or refer to the same organization as the input company.,
"6/F., PARAMOUNT BUILDING, 12 KA YIP STREET",HONG KONG,CN,Bas Engineering Limited,-,HONG KONG,,,,,,,,,,,,,"35, 14F -1, Hangyun Building, No.809, Songyu M. Road, Xiamenpian District, China Pilot Free Trade Z",,CN,"Xiamen Liansheng Business Management Co., Ltd.",,,3,False,"The queried company is different from the input company, with no apparent connection.",
"工行北京长安分理处, .",BEIJING,CN,北京华力豪顺科技公司,.,CHINA,,,,,,,,,,,,,蜀山区黄山路建业领翔2512室,合肥,CN,安徽力豪科技有限公司,230000,安徽,4,False,The queried company names and addresses do not match or closely relate to the input company.,
"中国工商银行北京经济技术开发区, 支行营业室",BEIJING,CN,施耐德电气中国投资有限公司,.,CHINA,北京市朝阳区将台路2号和乔丽晶中心施耐德大厦,[],施耐德电气（中国）投资有限公司,北京市,1.0,中国,{},,,100016,,"['http://www.schneider', 'https://www.schneider-electric.cn/zh/about-us/contact-us/our-office/headquarters/']",朝阳区将台路2号和乔丽晶中心施耐德大厦,,CN,施耐德电气(中国)投资有限公司,130012,北京,5,True,OK,7
"中行金山支行石化分理处, .",SHANGHAI,CN,中国金山联合贸易有限责任公司,.,CHINA,金一东路1号金山宾馆南8楼,[],中国金山联合贸易有限责任公司,金山区,1.0,CN,{'统一社会信用代码': '91310116132206027D'},,,200540,,[],金山区金一东路1号金山宾馆南8楼,,CN,中国金山联合贸易有限责任公司,200540,上海,6,True,OK,6
"深圳市招商银行总行营业部, .",SHENZHEN,CN,能殷自动化贸易(深圳)有限公司,.,CHINA,上步中路工会大厦B座6楼西,[],能殷自动化贸易（深圳）有限公司,深圳,0.0,CN,{},,,518031,广东,['https://hw23099.sunmen.com/'],上步中路工会大厦B座6楼西,深圳,CN,能殷自动化贸易(深圳)有限公司,518031,广东,7,True,OK,7
"天津商业银行协通支行, .",TIANJIN,CN,天津市开发区泰达大厦房地产开发有限公司泰达俱乐部,.,CHINA,,,,,,,,,,,,,解放南路256号,,CN,天津泰达万通房地产开发有限公司,300100,天津,8,False,The queried company name and the input company name refer to different entities despite both being in the real estate sector in Tianjin.,
1155 Connecticut Ave Nw,Washington,US,"Pacific Bridge, Inc.",20036,DC,,,,,,,,,,,,,1155 Connecticut Ave NW Ste 600,Washington,US,America Votes,20036,,9,False,"The input company 'Pacific Bridge, Inc.' does not match the queries related to 'America Votes', which is a different organization focused on political advocacy.",
"Rm 906, # 2 Building",Zhong Shan Bei Yi Road,CN,Shanghai North-power Electromechanical Instrument Complete Set Co Ltd,200437,SHANGHAI,,,,,,,,,,,,,"No.8, Baziqiao Road, Jianghai Economic Park, Fengxian District",Shanghai,CN,"Shanghai Jingming Electric Instrument Complete Set Co., Ltd.",201400,,10,False,The queried names and addresses do not match or closely relate to the input company.,
"Office Tower,new Century Hotel F/5, No. 6 Nanwei Road Nan Alley",Beijing,CN,Dec Prc Limited Beijing Service Station,100050,BEIJING,,,,,,,,,,,,,"Floor 5, South Building, B3, Huayuan Road, Haidian District, Beijing",Beijing,CN,Instrimpex-dec Beijing Service Station,100083,,11,False,"The queried names and addresses do not match the input company, indicating they refer to different organizations.",
分行西便门分理处,交行北京市,CN,北京纳威尔格质量咨询有限公司,100031,北京市,西城区宣武门西大街甲129号1218室,[],纳威尔格（北京）管理咨询有限公司,北京市,0.0,CN,{},,,100031,北京市,"['https://www.tianyancha.com/company/24640547', 'https://www.yqsite.com/case/7120102010.html', 'https://www.tianyancha.com/company/24641280', 'https://www.taoke.com/company/1630.htm', 'https://m.zhipin.com/gongsi/l014109748.html']",西城区宣武门西大街甲129号金隅大厦1218室,,CN,纳威尔格(北京)管理咨询有限公司,100031,北京,12,True,OK,11
"2/F CONCORD COMMERCIAL BUILDING, 157 KING'S ROAD,",HONG KONG,CN,Beria Consultants Ltd,-,HONG KONG,,,,,,,,,,,,,"Kuxugen Village, Chonghuer Town, Burqin County",Altay Prefecture,CN,Burqin County Chonghuer Town Chunmei Vegetables Plantation Specialty Cooperative,836300,,13,False,The input company and the queries refer to entirely different entities and locations.,
"SUTE 1900,TUNG WAH MANSION, 199-203 HENNESSY ROAD",HONG KONG,CN,Growinet Ltd,-,HONG KONG,,,,,,,,,,,,,"No.8, Changqing Road, The Summit, Economic Development Zone",Nantong,CN,"Nantong Growi Co., Ltd.",226010,,14,False,The queried names and addresses do not match or closely relate to Growinet Ltd.,
